"","ID","INSEE_COM","CODE_EPCI","INSEE_DEP","INSEE_REG","NOM_COM_M","POPULATION","Nb_Transac","Prixm2_Moy"
"92","COMMUNE_0000000009732788","57517",200069441,"57",44,"OBERGAILBACH",317,NA,NA
"93","COMMUNE_0000000009728785","59118",200030633,"59",32,"BUSIGNY",2488,32,1036
"94","COMMUNE_0000000009728279","59240",200043263,"59",32,"FLOURSIES",128,NA,NA
"95","COMMUNE_0000002200276593","60245",246000848,"60",32,"FORMERIE",2145,18,1102
"96","COMMUNE_0000002200276597","61294",200035111,"61",28,"MORTREE",1189,9,862
"97","COMMUNE_0000002200276600","63335",246300966,"63",84,"SAINT DIERY",476,9,1476
"98","COMMUNE_0000002200276598","62154",200069672,"62",32,"BONNIERES",674,6,1156
"99","COMMUNE_0000000009727121","62757",200069037,"62",32,"SAINT MARTIN LEZ TATINGHEM",5897,75,1671
"100","COMMUNE_0000000009727120","62765",200069037,"62",32,"SAINT OMER",14443,157,1468
"101","COMMUNE_0000000009760838","64423",200067288,"64",75,"ORAS",173,2,1453
"102","COMMUNE_0000000009760840","64071",200067288,"64",75,"ATHOS ASPIS",211,4,1716
"103","COMMUNE_0000000009747685","71073",200006682,"71",27,"CHAGNY",5605,54,1685
"104","COMMUNE_0000002200276611","72189",200072676,"72",52,"MAROLLES LES BRAULTS",2210,34,1094
"105","COMMUNE_0000000009736497","77058",247700594,"77",11,"BUSSY SAINT GEORGES",26971,447,3705
"106","COMMUNE_0000002200276622","77109",200037133,"77",11,"CHENOISE CUCHARMOY",1611,23,1906
"107","COMMUNE_0000000009736561","78126",247800584,"78",11,"CELLE SAINT CLOUD",20973,258,4275
"108","COMMUNE_0000002200276632","79140",200069755,"79",75,"VALDELAUME",866,12,869
"109","COMMUNE_0000002200276630","79083",200069755,"79",75,"CHEF BOUTONNE",2583,43,837
"110","COMMUNE_0000002200276633","79174",200069755,"79",75,"MELLE",6284,61,1095
"111","COMMUNE_0000002200276639","79329",247900798,"79",75,"THOUARS",14055,136,1017
"112","COMMUNE_0000002200276641","80442",200070985,"80",32,"HOMBLEUX",1173,12,1029
"113","COMMUNE_0000000009758814","81004",248100737,"81",76,"ALBI",49024,682,1858
"114","COMMUNE_0000000009758817","81284",248100737,"81",76,"SEQUESTRE",1755,20,2085
"115","COMMUNE_0000000009759046","81059",248100737,"81",76,"CARLUS",682,4,1910
"116","COMMUNE_0000000009757849","82131",248200057,"82",76,"MONTPEZAT DE QUERCY",1558,18,1285
"117","COMMUNE_0000000009761638","83054",248300410,"83",93,"FARLEDE",8768,68,3137
"118","COMMUNE_0000000009761637","83132",248300410,"83",93,"SOLLIES VILLE",2412,17,2990
"119","COMMUNE_0000002200276650","85194",200071165,"85",52,"SABLES D OLONNE",43219,1385,3303
"120","COMMUNE_0000000009743183","89191",200039642,"89",27,"GLAND",39,1,373
"121","COMMUNE_0000000009743182","89386",200039642,"89",27,"SENNEVOY LE HAUT",117,2,757
"122","COMMUNE_0000000009735517","92036",200054781,"92",11,"GENNEVILLIERS",46653,201,3937
"123","COMMUNE_0000002200276465","01453",200040350,"01",84,"ARVIERE EN VALROMEY",716,3,1729
"124","COMMUNE_0000000009753186","16046",200029734,"16",75,"COTEAUX DU BLANZACAIS",1049,15,1289
"125","COMMUNE_0000000009751898","16286",241600303,"16",75,"ROUILLAC",2984,31,1053
"126","COMMUNE_0000000009752388","16353",200068914,"16",75,"SAINT SORNIN",808,8,1003
"127","COMMUNE_0000000009736117","27360",200071454,"27",28,"JUMELLES",315,5,1721
"128","COMMUNE_0000000009753876","24064",200041572,"24",75,"BRANTOME EN PERIGORD",3747,16,2491
"129","COMMUNE_0000000009747307","36093",243600293,"36",24,"LEVROUX",2957,31,928
"130","COMMUNE_0000000009749097","39378",200072056,"39",27,"TROIS CHATEAUX",772,4,1200
"131","COMMUNE_0000000009736125","27198",200066462,"27",28,"MESNILS SUR ITON",6116,37,1538
"132","COMMUNE_0000000009731497","50523",200042729,"50",28,"SAINTE MERE EGLISE",3107,29,1607
"133","COMMUNE_0000000009740810","52064",200069664,"52",44,"BOURMONT ENTRE MEUSE ET MOUZON",814,NA,NA
"134","COMMUNE_0000000009741371","53161",200033298,"53",52,"MONTSURS",3272,41,1028
"135","COMMUNE_0000000009750975","69159",200040574,"69",84,"PORTE DES PIERRES DOREES",3686,16,2280
"136","COMMUNE_0000000009744120","70285",247000722,"70",27,"HERICOURT",10646,112,1402
"137","COMMUNE_0000000009752453","73187",247300015,"73",84,"LECHERE",2543,19,2788
"138","COMMUNE_0000002200276458","01033",240100891,"01",84,"VALSERHONE",16302,162,2100
"139","COMMUNE_0000002200276461","01130",200071751,"01",84,"BRESSE VALLONS",2263,12,1962
"140","COMMUNE_0000000009734196","50546",200066389,"50",28,"BOURGVALLEES",3193,25,1304
"141","COMMUNE_0000000009747792","79005",200041416,"79",75,"AIRVAULT",3289,46,1087
"142","COMMUNE_0000000009748201","86281",200069763,"86",75,"SAINT MARTIN LA PALLU",5553,57,1427
"143","COMMUNE_0000000009753467","73257",200023299,"73",84,"BELLEVILLE",3488,242,4819
"144","COMMUNE_0000000009749894","79061",200069755,"79",75,"CELLES SUR BELLE",3884,36,1109
"145","COMMUNE_0000000009749897","79185",200069755,"79",75,"AIGONDIGNE",4789,39,1274
"146","COMMUNE_0000000009733874","51507",200042703,"51",44,"SAINTE MENEHOULD",4110,40,1307
"147","COMMUNE_0000002200276562","44003",244400552,"44",52,"ANCENIS SAINT GEREON",10595,153,2160
"148","COMMUNE_0000000009730437","76045",200069847,"76",28,"AUZOUVILLE L ESNEVAL",360,2,1247
"149","COMMUNE_0000002200276459","01036",200040350,"01",84,"VALROMEY SUR SERAN",1299,9,1566
