codecommune;Nb_mutations;PrixMoyen_m2
31133;1;2156
31382;1;2156
31589;15;2156
64145;4;2156
4108;19;2156
60284;19;2156
37138;11;2156
33018;62;2155
14161;4;2155
1407;19;2155
40278;14;2155
84105;6;2155
11005;10;2154
31353;1;2154
46092;1;2154
95656;3;2154
30233;8;2154
2B033;6;2154
69067;21;2154
30158;3;2154
35227;60;2154
14344;1;2153
60152;2;2153
64465;1;2153
30283;5;2153
44079;35;2153
33130;10;2153
80724;24;2153
31094;25;2152
60135;32;2152
4112;252;2152
17463;7;2152
60369;12;2152
31052;5;2152
60395;168;2152
25257;2;2152
59181;6;2152
64348;151;2151
82005;17;2151
9237;1;2151
31009;1;2151
35144;12;2151
76041;8;2151
84022;3;2151
47169;16;2151
66213;8;2151
34002;7;2150
25442;5;2150
1346;4;2150
14648;4;2150
25599;1;2150
73124;14;2150
54395;1866;2149
77454;7;2149
38432;5;2149
42275;84;2149
26211;9;2149
60523;13;2148
7050;10;2148
25532;12;2148
29158;14;2148
27002;12;2148
30241;25;2148
50584;2;2148
59465;3;2147
64250;5;2147
35358;16;2147
7340;11;2147
59320;28;2147
76093;4;2147
80529;2;2147
64315;9;2146
59086;23;2146
30069;7;2146
25188;2;2146
60308;7;2145
25578;13;2145
44165;30;2145
21122;1;2145
38053;17;2145
35216;28;2145
17158;10;2145
60447;9;2144
7152;3;2144
77379;127;2144
21405;3;2144
25295;1;2144
32435;2;2144
64008;1;2144
42237;56;2144
35067;24;2143
7169;1;2143
27066;1;2143
27070;2;2143
83113;5;2143
66189;2;2143
26079;8;2142
56185;63;2142
45170;3;2142
54202;5;2142
29177;26;2142
84087;219;2142
61505;1;2142
70151;1;2142
77280;18;2142
80050;3;2142
12157;4;2142
22050;333;2142
79058;8;2142
7030;4;2142
60380;30;2142
77509;9;2141
80036;6;2141
60469;9;2141
62362;2;2141
64172;2;2141
76592;6;2141
31374;5;2140
59655;3;2140
77429;9;2140
26206;16;2140
81112;2;2140
31287;25;2140
26086;16;2140
6013;19;2140
44088;36;2140
31507;11;2140
81070;19;2139
50517;1;2139
73147;3;2139
30235;13;2139
72310;26;2139
76151;10;2138
62752;19;2138
25186;6;2138
30196;5;2138
70159;1;2138
82017;13;2138
60539;12;2138
33068;3;2138
47163;3;2138
7237;4;2138
78668;14;2138
60319;6;2137
50565;36;2137
59011;151;2137
34292;9;2137
35136;131;2137
60524;42;2137
97115;9;2137
59617;2;2137
21555;7;2136
33403;1;2136
80600;6;2136
83150;4;2136
38562;52;2136
66024;41;2136
34232;6;2135
30042;34;2135
76726;9;2135
5115;4;2135
11064;4;2135
21630;1;2135
42087;15;2135
64142;8;2135
54557;50;2135
72065;19;2135
51093;8;2134
59143;100;2134
54498;59;2134
39447;1;2134
78104;7;2134
1344;37;2134
42326;8;2134
60307;13;2133
60125;11;2133
11262;949;2133
60689;18;2133
38090;7;2133
28096;15;2133
29135;10;2133
81185;2;2133
34341;43;2132
26129;5;2132
26250;15;2132
45302;154;2132
5114;7;2132
39271;4;2132
63245;42;2132
22286;3;2132
85045;30;2132
33300;17;2131
62863;21;2131
80376;9;2131
90104;8;2131
70254;2;2131
64198;8;2130
44210;120;2130
1028;8;2130
5136;1;2130
37246;1;2130
77210;40;2130
76608;9;2130
85001;83;2130
76657;13;2130
77473;16;2129
59434;15;2129
34197;9;2129
70312;3;2128
51293;6;2128
1033;294;2128
54141;1;2128
55457;1;2128
69218;6;2128
28298;30;2128
26113;33;2128
97132;6;2127
27429;2;2127
33025;2;2127
66095;8;2127
44178;24;2127
80625;8;2127
42191;9;2126
77129;15;2126
14274;1;2126
27650;6;2126
63224;14;2126
46148;4;2126
1332;3;2125
28213;11;2125
28108;1;2125
64158;1;2125
64375;1;2125
34210;24;2125
93014;210;2125
30257;25;2124
51102;4;2124
69091;205;2124
76716;15;2124
26016;3;2123
27408;7;2123
30254;19;2123
60630;4;2123
25020;1;2123
26099;2;2123
59648;192;2123
63193;43;2123
62239;25;2123
60460;2;2123
9113;5;2122
1183;7;2122
4006;151;2122
59427;6;2122
88193;2;2122
50162;19;2122
45203;66;2122
1451;36;2122
59286;233;2122
42210;4;2122
28098;34;2121
71105;25;2121
45094;7;2121
42056;32;2121
26121;4;2121
11245;2;2121
26077;6;2121
7216;5;2120
17443;5;2120
77333;157;2120
62586;3;2120
42271;42;2120
7008;13;2120
84107;4;2120
77093;3;2119
76515;7;2119
63308;47;2119
14198;5;2119
85172;40;2119
10321;35;2118
54459;22;2118
1352;4;2118
4111;6;2118
11382;1;2118
14587;1;2118
38390;4;2118
69178;9;2118
25119;2;2118
65435;2;2118
32078;3;2117
43195;3;2117
77327;85;2117
83026;6;2117
47164;2;2117
65350;7;2117
73096;6;2117
39552;3;2116
73253;3;2116
46137;4;2116
60668;6;2116
66207;6;2116
34267;25;2116
60332;8;2116
62606;7;2116
33388;9;2116
4019;78;2116
34161;26;2115
62176;5;2115
61336;3;2115
26338;10;2115
35031;61;2115
46214;1;2115
48075;3;2115
64358;2;2115
84015;1;2115
66052;8;2115
84150;18;2115
89459;3;2114
77228;4;2114
22368;7;2114
25357;2;2114
37178;5;2114
65223;12;2114
66173;9;2114
66168;4;2114
54378;7;2114
50304;2;2114
34226;9;2113
30252;9;2113
76402;33;2113
30281;15;2113
19244;1;2113
29215;1;2113
30348;27;2113
34001;9;2113
60090;7;2113
7053;2;2113
26264;4;2113
85231;25;2112
60427;3;2112
60130;4;2112
42211;26;2112
59080;33;2112
30313;10;2112
38275;1;2112
76014;18;2112
27022;30;2112
29220;18;2112
76152;4;2112
62003;9;2112
73079;4;2112
42270;17;2111
69267;12;2111
5006;16;2111
17008;21;2111
7296;12;2111
9291;4;2111
78057;33;2111
34297;2;2111
35264;17;2110
60089;8;2110
26052;5;2110
62206;1;2110
50519;6;2110
39068;8;2110
76596;13;2110
38151;248;2110
62602;2;2110
59653;90;2109
42133;5;2109
59588;142;2109
14644;13;2109
81104;7;2109
88380;2;2109
77527;5;2108
27181;5;2108
37219;10;2108
29156;9;2108
88075;103;2108
72339;5;2108
62654;9;2108
33457;9;2107
63425;7;2107
85250;27;2107
30292;6;2107
63032;85;2107
50152;1;2107
35315;18;2107
85189;21;2107
4039;20;2106
21353;3;2106
30176;7;2106
38112;1;2106
54469;3;2106
60330;19;2106
80213;6;2106
34204;24;2105
25133;9;2105
27562;36;2105
73323;1;2105
7201;31;2105
11014;13;2105
70580;3;2104
50252;13;2104
69245;5;2104
71459;1;2104
27347;10;2104
24362;46;2104
84031;167;2104
66101;11;2104
71447;3;2103
33139;1;2103
76141;15;2103
27077;4;2103
4124;8;2103
76017;10;2103
40269;12;2102
60563;10;2102
21698;1;2102
77271;1;2102
35040;43;2102
69269;10;2102
1169;9;2101
14437;1;2101
26219;1;2101
63472;1;2101
30331;18;2101
32016;9;2101
60169;17;2101
30207;14;2101
60613;2;2100
77010;10;2100
85146;402;2100
1136;4;2100
27089;4;2100
47053;2;2100
64025;2;2100
76605;2;2100
44083;31;2099
29165;8;2099
32268;4;2099
38155;12;2099
1379;10;2099
77482;35;2099
33544;70;2099
22187;201;2099
40202;37;2098
69110;23;2098
63307;37;2098
27144;1;2098
30116;14;2098
38009;1;2098
38147;1;2098
37006;18;2098
80291;3;2098
27644;4;2098
76282;5;2097
28229;131;2097
11238;5;2097
32348;1;2097
28405;15;2097
76580;9;2097
39039;2;2097
40308;9;2096
63265;8;2096
62869;7;2096
5039;3;2095
18221;5;2095
1074;30;2095
63444;1;2095
73095;1;2095
76403;3;2095
97102;2;2095
60541;6;2095
33082;11;2095
27355;43;2095
73242;6;2094
85268;29;2094
9032;69;2094
7133;1;2094
14379;1;2094
64175;1;2094
74174;4;2094
21458;5;2094
30294;52;2094
4178;12;2093
1241;4;2093
81088;5;2093
51256;2;2093
76538;2;2093
60375;5;2093
77120;9;2093
60378;8;2093
40214;5;2093
2280;6;2093
60030;4;2092
37154;31;2092
33050;5;2092
56255;29;2092
26148;6;2092
60601;7;2092
30179;46;2092
39498;5;2092
27176;2;2092
33098;2;2092
14536;34;2091
31303;18;2091
71371;10;2091
59202;83;2091
5099;1;2091
54103;2;2091
60574;8;2091
77049;12;2091
21352;6;2090
73241;4;2090
33288;2;2090
64271;1;2090
80558;1;2090
76555;7;2090
34194;58;2090
31038;4;2090
64432;2;2090
95523;10;2090
27615;3;2089
76063;3;2089
59580;29;2089
29260;56;2089
50143;15;2089
76305;57;2089
34305;2;2089
33541;24;2089
54578;216;2089
27528;5;2088
63268;3;2088
80120;5;2088
32301;9;2088
25429;4;2088
37131;11;2087
31592;7;2087
30166;23;2087
51149;1;2087
59587;6;2087
81323;3;2087
6142;5;2087
35088;52;2086
64448;14;2086
14663;1;2086
27488;1;2086
39572;2;2086
51566;1;2086
42005;105;2086
14398;10;2086
33304;2;2086
27249;6;2085
84103;4;2085
30165;11;2085
37053;1;2085
46049;2;2085
64003;1;2085
80225;1;2085
30027;18;2085
37175;10;2085
85284;74;2084
85002;46;2084
7323;6;2084
35108;13;2084
28201;36;2084
76529;7;2084
51171;22;2084
76238;32;2084
76351;2537;2084
84129;100;2083
32141;1;2083
45217;1;2083
48067;1;2083
61138;1;2083
63140;1;2083
83013;3;2083
22197;41;2083
27298;3;2083
38058;3;2083
28193;3;2082
38292;6;2082
62845;4;2082
59630;31;2082
59279;272;2082
73180;4;2082
71383;2;2082
66084;15;2081
73004;11;2081
66011;37;2081
80131;37;2081
43184;17;2081
33420;1;2081
62089;5;2081
62379;1;2081
64259;3;2081
59592;66;2081
5029;6;2081
7293;3;2081
63455;23;2081
26289;16;2081
38182;2;2081
50609;2;2081
62037;38;2080
60029;56;2080
81079;5;2080
28173;15;2080
31067;1;2080
37225;36;2080
60406;9;2080
59408;21;2080
35251;58;2080
27582;4;2080
2477;5;2079
60013;15;2079
76684;17;2079
95150;10;2079
50258;1;2079
71169;3;2079
32334;10;2079
97414;117;2079
25356;26;2079
9283;3;2078
25617;1;2078
60687;2;2078
73220;2;2078
80562;4;2078
36118;2;2078
47092;2;2078
77020;17;2077
25560;17;2077
63213;12;2077
21194;8;2077
61206;1;2077
70118;1;2077
4148;7;2077
40179;31;2077
77431;85;2076
73068;2;2076
14098;12;2076
66181;7;2076
60317;10;2076
4126;27;2075
60344;3;2075
54574;4;2075
76452;24;2075
64478;4;2075
80497;1;2075
64472;8;2075
21464;18;2075
50548;3;2075
77439;15;2074
42149;79;2074
97107;7;2074
2363;4;2074
30250;11;2074
4138;10;2074
51239;1;2074
76492;2;2074
80690;9;2074
51088;5;2074
28332;13;2074
14258;2;2074
26107;2;2074
29040;14;2074
1366;9;2073
78147;6;2073
71404;8;2073
60454;9;2073
2767;4;2073
27382;1;2073
39249;1;2073
30076;16;2073
35128;17;2073
7304;16;2073
27580;7;2073
84027;18;2072
62849;23;2072
2269;1;2072
76412;1;2072
11258;28;2072
42264;12;2072
47051;26;2072
60313;21;2071
30328;11;2071
4122;8;2071
64556;1;2071
65021;2;2071
45154;11;2071
42256;46;2071
62213;9;2071
26149;11;2071
59662;9;2071
21423;2;2071
14085;15;2070
62529;7;2070
51660;32;2070
80661;5;2070
47207;6;2070
33016;6;2069
60480;6;2069
60223;44;2069
27674;4;2069
30265;5;2069
72160;6;2069
7303;1;2069
60449;1;2069
63417;14;2069
76734;7;2069
78558;3;2069
27400;7;2069
1004;181;2069
7168;6;2069
27700;6;2069
31451;38;2069
27261;2;2069
32121;7;2068
81218;14;2068
82147;7;2068
89136;7;2068
7056;2;2068
47236;1;2068
76553;1;2068
40159;8;2068
35245;36;2068
60504;17;2068
37212;6;2068
50041;234;2067
30070;6;2067
5156;5;2067
70189;2;2067
76009;5;2067
27190;6;2067
44152;34;2067
66019;3;2067
28423;11;2067
56177;84;2066
19178;8;2066
56121;720;2066
82025;29;2066
35107;17;2065
39047;7;2065
31083;1;2065
37014;36;2065
39534;3;2065
78009;3;2065
80489;52;2065
76534;29;2064
70494;3;2064
29021;32;2064
33297;32;2064
26323;6;2064
27351;6;2064
42018;7;2064
76076;2;2064
63470;43;2064
29061;43;2064
64518;8;2064
28095;3;2064
69242;9;2064
28372;12;2064
1373;4;2063
82135;12;2063
64047;2;2063
7279;15;2063
17009;12;2062
77432;15;2062
54304;171;2062
76296;34;2062
48171;4;2062
27183;30;2062
42200;19;2062
26026;2;2062
77398;23;2061
64132;49;2061
65320;6;2061
56259;16;2061
28188;14;2061
1213;14;2061
62390;21;2061
60528;2;2061
26087;9;2060
39126;4;2060
60637;7;2060
50360;2;2060
50277;8;2060
77434;11;2060
33040;15;2060
48141;3;2060
64511;32;2060
21067;2;2060
25614;8;2060
59114;15;2059
26002;16;2059
17011;1;2059
33275;2;2059
50454;5;2059
62315;2;2059
64296;1;2059
14001;13;2059
60140;10;2059
34199;61;2059
27103;10;2059
4059;3;2058
60586;13;2058
17066;2;2058
42022;40;2058
85096;85;2058
34081;15;2058
27420;2;2058
1195;5;2057
30259;46;2057
33415;31;2057
28285;7;2057
31370;1;2057
34313;7;2057
76440;1;2057
21059;3;2057
21127;3;2056
60006;15;2056
2485;1;2056
21411;1;2056
30277;8;2056
64027;1;2056
64211;1;2056
82057;7;2056
56247;36;2056
76006;3;2056
60440;11;2056
40059;12;2056
76563;19;2056
59576;6;2055
85221;36;2055
24257;3;2055
26072;3;2055
49262;3;2055
80387;2;2055
60587;19;2055
80627;10;2055
64405;30;2055
28275;11;2054
78597;7;2054
38463;9;2054
50083;7;2054
53059;7;2054
44142;24;2054
4123;4;2054
32444;1;2054
38456;4;2054
80800;1;2054
80256;20;2054
60620;8;2054
42088;5;2054
42038;12;2053
7101;7;2053
28168;56;2053
5071;1;2053
9147;1;2053
21319;1;2053
38033;1;2053
76681;202;2053
42223;81;2053
51281;4;2053
60426;7;2052
37250;17;2052
76453;2;2052
80173;2;2052
28218;144;2052
43137;72;2052
26337;12;2052
2A308;2;2052
56029;2;2052
73013;4;2052
54371;11;2051
31360;4;2051
59105;15;2051
37059;8;2051
31486;11;2051
2098;5;2051
7091;2;2051
59449;104;2050
27696;14;2050
24443;3;2050
54270;56;2050
26061;1;2050
2A232;1;2050
32069;1;2050
95054;3;2050
76196;20;2050
25413;13;2050
7288;12;2050
17091;21;2050
60674;16;2050
76543;3;2049
85155;49;2049
91495;6;2049
69165;8;2049
63322;26;2049
37153;30;2049
32262;8;2049
66226;15;2048
50272;18;2048
80149;4;2048
42103;43;2048
27008;3;2048
40163;6;2048
62503;1;2048
62614;3;2048
65303;2;2048
24158;6;2048
66148;3;2048
11273;11;2048
77054;11;2048
71525;2;2048
27507;26;2047
27095;1;2047
76240;12;2047
11370;49;2047
50240;5;2047
22273;32;2047
31269;11;2046
4043;4;2046
29011;10;2046
61056;1;2046
59323;6;2046
77302;32;2046
9075;6;2046
7157;13;2045
45043;11;2045
28379;6;2045
4172;8;2045
25404;1;2045
26046;1;2045
28034;15;2045
60092;3;2045
81098;1;2045
62252;14;2045
33327;33;2044
22304;7;2044
88439;15;2044
60355;7;2044
62438;4;2044
73330;22;2043
97208;1;2043
51586;3;2043
38567;59;2043
76627;24;2042
76593;5;2042
60404;14;2042
40324;2;2042
48181;1;2042
54580;195;2042
4227;6;2041
1259;5;2041
37110;12;2041
80798;13;2041
6106;7;2041
21684;1;2041
33404;1;2041
66162;6;2041
44061;46;2041
27220;6;2041
22242;28;2040
17421;65;2040
41153;1;2040
26006;13;2040
30140;20;2040
54439;70;2040
59251;2;2040
30317;24;2039
33464;6;2039
50496;18;2039
14047;7;2039
5035;1;2039
38194;5;2039
60272;7;2039
62674;2;2039
49200;136;2039
42064;7;2039
26355;2;2039
60285;5;2038
62041;641;2038
25379;1;2038
29224;2;2038
60510;11;2038
1081;7;2038
39283;6;2038
76718;17;2038
76547;5;2038
30243;71;2037
14522;6;2037
87192;19;2037
26157;3;2037
38062;5;2037
7098;4;2037
5021;2;2036
24183;3;2036
55121;1;2036
69172;9;2036
33052;30;2036
33272;9;2036
77496;2;2036
49271;24;2035
81298;2;2035
26070;6;2035
66129;16;2035
34047;10;2034
30214;24;2034
81004;363;2034
11040;24;2034
33117;3;2033
76532;4;2033
24577;10;2033
86157;55;2033
25311;1;2033
40094;9;2033
64197;1;2033
66074;1;2033
54327;11;2033
59437;6;2033
59505;3;2033
72386;44;2033
76501;3;2032
4190;1;2032
73073;2;2032
1202;74;2032
38559;17;2032
14625;8;2032
27684;9;2031
59109;10;2031
83012;11;2031
14595;4;2031
27332;5;2031
60599;1;2031
65467;1;2031
60042;20;2031
27641;7;2031
26073;2;2031
33270;4;2031
66134;14;2030
77184;14;2030
39153;8;2030
24224;6;2030
63113;1201;2030
80806;9;2030
26367;1;2030
32089;1;2030
60052;1;2030
76554;5;2030
62311;9;2030
77397;33;2029
77242;3;2029
76636;14;2029
26165;52;2029
25410;7;2029
21192;2;2029
31387;1;2029
60115;11;2029
77033;1;2029
76647;60;2029
1092;18;2029
27383;3;2029
32122;2;2029
33533;23;2028
76069;11;2028
76225;3;2028
42011;34;2028
60433;15;2028
77260;12;2028
27140;8;2028
60345;2;2028
33523;19;2027
65212;5;2027
59237;6;2027
33486;4;2027
27064;5;2027
60342;54;2027
59230;58;2027
76082;4;2027
17097;6;2027
21171;43;2027
85191;914;2026
44021;142;2026
39527;2;2026
64089;1;2026
77026;5;2026
81125;1;2026
90071;9;2026
56063;23;2026
51622;7;2026
27537;4;2026
80287;4;2026
64243;3;2025
1319;6;2025
80674;41;2025
38553;5;2025
76352;2;2025
77460;5;2025
49110;16;2025
33311;30;2025
17068;3;2025
62049;3;2025
78231;2;2025
66049;62;2024
50421;9;2024
17359;7;2024
60644;52;2024
54400;13;2024
73255;3;2024
56179;19;2024
62623;7;2024
85018;73;2024
27339;4;2024
62001;20;2024
33157;6;2024
60439;87;2024
76100;8;2023
17021;36;2023
28039;34;2023
30162;7;2023
27180;6;2023
77016;18;2023
28425;10;2023
8060;2;2023
24268;8;2023
60352;4;2023
4025;17;2022
76594;8;2022
47288;3;2022
25282;5;2022
27591;5;2022
33079;1;2022
60118;1;2022
54571;8;2022
62174;15;2022
60157;174;2022
4095;2;2022
37060;12;2022
40207;10;2021
66067;15;2021
88037;7;2021
1289;31;2021
31576;2;2021
17164;24;2020
43265;11;2020
6042;7;2020
25193;4;2020
69022;9;2020
7085;2;2020
27471;2;2020
38348;1;2020
49135;16;2020
73212;6;2020
84122;19;2020
80164;46;2020
21021;8;2020
28035;12;2020
63254;12;2020
91016;72;2019
85071;54;2019
21556;1;2019
25040;2;2019
25202;1;2019
97124;16;2019
80463;9;2019
21139;2;2019
50008;6;2019
73211;4;2019
48148;5;2018
5174;10;2018
64230;50;2018
59412;1;2018
51439;4;2018
63284;70;2018
27073;17;2017
77133;3;2017
12174;9;2017
45089;97;2017
25467;9;2017
90102;4;2017
45301;5;2017
53119;38;2017
50342;9;2017
76095;52;2017
76482;20;2017
89267;3;2016
28154;13;2016
2613;8;2016
46322;1;2016
65060;1;2016
76743;10;2016
44108;23;2016
27277;14;2015
48144;3;2015
76720;5;2015
82035;5;2015
63106;8;2015
27309;7;2015
62680;7;2015
30102;5;2015
60304;4;2015
90004;2;2015
76222;26;2014
35356;29;2014
72058;68;2014
44155;50;2014
36145;1;2014
39328;2;2014
63277;1;2014
73011;102;2014
17484;30;2014
33305;12;2014
76303;7;2014
33355;18;2014
27324;4;2014
7291;12;2013
29140;22;2013
62718;11;2013
12193;2;2013
19120;2;2013
30097;9;2013
35296;21;2013
70045;1;2013
76111;1;2013
45348;7;2013
66103;7;2013
37091;23;2013
27386;4;2013
25112;4;2013
34166;22;2012
73230;3;2012
45024;22;2012
33215;1;2012
76463;5;2012
56058;32;2012
37021;16;2012
1149;13;2012
69113;9;2012
39207;2;2012
66174;18;2011
47225;26;2011
40033;3;2011
35096;32;2011
27550;1;2011
50120;2;2011
71415;1;2011
30128;52;2011
69187;4;2011
85098;23;2011
29230;8;2011
1082;7;2010
54186;6;2010
60661;11;2010
29098;15;2009
31275;1;2009
38300;1;2009
60658;11;2009
33231;5;2008
33225;34;2008
88398;1;2008
50013;6;2008
60582;12;2008
7086;5;2008
60665;33;2008
38347;2;2008
28291;10;2007
71117;6;2007
59281;13;2007
24245;1;2007
29228;2;2007
70019;1;2007
2A198;4;2007
50229;2;2007
40283;42;2006
34223;9;2006
42132;6;2006
54151;16;2006
61457;2;2006
64516;3;2006
76436;2;2006
77405;34;2006
59477;58;2005
60024;8;2005
40301;3;2005
76471;11;2005
77516;16;2005
44063;31;2005
4073;57;2005
2364;4;2005
4195;10;2005
25631;3;2005
77201;9;2005
80752;7;2005
40043;27;2005
81138;3;2005
26193;6;2005
1368;5;2004
62742;3;2004
21048;1;2004
21487;2;2004
25179;1;2004
76011;4;2004
76249;5;2004
76314;9;2004
45144;9;2004
71372;5;2004
2792;2;2004
64067;21;2003
69119;4;2003
50045;9;2002
77381;12;2002
54367;32;2002
51526;3;2002
62634;10;2002
5007;6;2002
43191;3;2002
69200;10;2002
59290;2;2002
17299;156;2001
41297;11;2001
42138;7;2001
27062;8;2001
50540;9;2001
77361;7;2001
60034;18;2001
7339;14;2001
25495;14;2001
62330;10;2001
30191;13;2000
16146;13;2000
26116;30;2000
62380;4;2000
30354;5;2000
63212;15;2000
71090;6;2000
37122;379;2000
2398;1;2000
9004;1;2000
11094;1;2000
25414;1;2000
26224;1;2000
27048;1;2000
27595;4;2000
38017;1;2000
38278;1;2000
39302;1;2000
43231;1;2000
48005;1;2000
62562;1;2000
62775;1;2000
62822;1;2000
65330;1;2000
71240;1;2000
76745;1;2000
80541;2;2000
81102;1;2000
82182;2;2000
88290;1;2000
88476;1;2000
42299;33;2000
11422;2;2000
76509;7;1999
40233;40;1999
62150;4;1999
44072;108;1999
26038;3;1999
80227;4;1999
41066;3;1999
60451;22;1999
28128;4;1999
30240;8;1999
69238;44;1998
33466;77;1998
60530;2;1998
74130;2;1998
22349;25;1998
30212;28;1998
56219;15;1998
24063;2;1998
78385;2;1998
82130;2;1998
60554;9;1997
34258;21;1997
59145;5;1997
47029;6;1997
35023;60;1997
7211;7;1997
71551;5;1997
76068;7;1997
64137;7;1996
42020;17;1996
64037;9;1996
34149;10;1996
64095;1;1996
66057;7;1996
44205;27;1996
62156;7;1996
85280;47;1996
4142;2;1996
64494;4;1996
77278;9;1995
50585;20;1995
77238;46;1995
3038;1;1995
35007;5;1995
35253;26;1995
63167;4;1995
76349;9;1994
34139;6;1994
47023;3;1994
58169;1;1994
27333;6;1994
69084;7;1994
28177;9;1994
76613;21;1994
33358;10;1994
77428;11;1994
64073;2;1993
62588;39;1993
41050;19;1993
73215;22;1993
44137;36;1993
77089;11;1993
29022;5;1993
60650;6;1992
97203;3;1992
5162;12;1992
21186;5;1992
42021;13;1992
29100;1;1992
54474;1;1992
85273;27;1992
26035;4;1992
11272;23;1991
27326;5;1991
59559;27;1991
65140;1;1991
60063;7;1991
26381;4;1991
32321;4;1991
7310;3;1991
21126;3;1991
30065;7;1991
33552;9;1991
33241;11;1991
66158;2;1991
62077;3;1990
63350;9;1990
26311;1;1990
76692;3;1990
50402;28;1990
33044;4;1990
7324;84;1990
30282;8;1990
59319;20;1990
59005;51;1989
33211;9;1989
33453;4;1989
38032;2;1989
51152;6;1989
76227;3;1989
80468;1;1989
84078;20;1989
65251;8;1989
63192;5;1989
4086;6;1989
27476;2;1989
51231;4;1989
4149;21;1988
45171;10;1988
51086;4;1988
76637;19;1988
1010;9;1988
24151;2;1988
31380;3;1988
27616;7;1988
27331;2;1988
33176;2;1988
40225;2;1988
60103;31;1987
33491;6;1987
1415;5;1987
4013;4;1987
60466;2;1987
35279;17;1986
7328;4;1986
27335;4;1986
29195;75;1986
40037;17;1986
33301;2;1986
51198;5;1986
37233;116;1986
71221;24;1986
27120;3;1986
76049;3;1986
27207;3;1985
64364;3;1985
7014;4;1985
27193;14;1985
1207;4;1985
1391;2;1985
39457;1;1985
42105;1;1985
64166;2;1985
65123;30;1985
60068;52;1985
85070;72;1985
69039;8;1985
62199;6;1984
39258;14;1984
17205;2;1984
27361;2;1984
35003;11;1984
63290;1;1984
76134;10;1984
82159;4;1984
1024;15;1984
35058;19;1984
7119;4;1984
28301;4;1984
76738;6;1984
66058;13;1983
60040;7;1983
11441;42;1983
63063;39;1983
12136;1;1983
72201;5;1983
49377;136;1983
60081;3;1983
63146;3;1983
76396;6;1983
31396;44;1983
51074;18;1983
31065;22;1982
97101;34;1982
6143;6;1982
46100;3;1982
80785;3;1982
2A062;4;1982
49063;85;1982
29221;12;1982
24168;7;1982
54366;15;1982
60567;6;1982
30146;16;1982
40126;24;1982
13214;380;1982
64374;12;1981
24174;2;1981
25365;2;1981
31096;1;1981
76433;4;1981
63181;5;1981
51052;10;1981
89053;3;1981
50647;12;1980
11359;11;1980
40323;2;1980
54508;1;1980
63107;7;1980
80780;5;1980
44140;10;1980
5109;3;1980
38273;4;1980
42117;4;1980
76224;13;1979
11249;3;1979
63250;4;1979
70313;8;1979
44025;51;1979
27597;2;1979
33043;1;1979
69097;5;1979
76405;1;1979
85003;140;1978
85017;16;1978
45334;5;1978
14045;3;1978
25152;1;1978
71019;1;1978
27348;5;1978
71481;8;1978
44129;137;1977
63112;3;1977
27391;26;1977
22008;13;1977
81069;10;1977
45142;46;1977
55302;1;1977
76550;8;1977
51468;6;1977
30087;4;1977
1039;7;1976
59317;131;1976
14530;1;1976
71292;3;1976
60681;9;1976
34060;6;1976
35331;24;1976
30124;5;1976
40035;4;1976
64184;3;1975
24544;4;1975
45075;112;1975
17219;122;1975
21131;1;1975
76099;4;1975
28363;17;1975
63148;26;1975
34089;11;1974
66212;4;1974
54113;15;1974
76615;12;1974
80351;1;1974
90036;3;1974
28084;11;1974
1152;10;1974
7079;5;1974
77303;4;1974
49050;240;1973
27230;47;1973
62714;11;1973
22134;52;1973
7097;4;1973
27567;2;1973
76106;5;1972
85152;162;1972
37206;18;1972
26353;6;1972
59516;9;1972
60108;5;1972
76428;1;1972
37254;20;1972
7035;3;1972
39546;3;1972
95101;6;1972
26173;6;1972
28350;14;1971
12182;1;1971
30285;8;1971
64413;7;1971
66228;1;1971
77504;34;1971
7227;3;1971
76226;3;1971
28418;5;1971
4203;27;1971
24280;9;1971
54330;6;1971
64431;2;1971
80698;2;1971
27483;5;1970
95429;5;1970
1065;6;1970
30304;6;1970
60484;5;1970
35283;20;1970
33323;15;1970
50480;9;1969
33179;32;1969
31310;2;1969
62069;2;1969
65384;2;1969
5145;11;1969
42062;9;1969
76192;41;1969
54118;12;1969
44013;38;1969
31283;2;1969
5123;11;1968
64216;8;1968
60492;16;1968
37278;9;1968
30182;13;1968
28267;9;1968
76189;6;1968
77041;6;1968
27453;5;1968
51403;5;1968
60137;4;1968
24450;7;1968
11111;15;1968
44134;13;1968
54490;17;1968
49247;24;1968
60515;2;1968
85262;43;1967
27336;3;1967
43207;1;1967
46227;1;1967
35220;92;1967
22324;24;1967
21185;3;1966
30150;3;1966
63453;29;1966
26295;10;1966
56098;227;1966
2595;1;1966
65232;1;1966
77530;3;1966
63321;5;1966
10332;6;1966
17155;30;1966
30270;9;1965
30273;13;1965
85004;86;1965
37096;8;1965
17447;7;1965
77321;9;1965
76117;12;1965
41069;3;1965
27114;18;1965
7260;3;1965
60290;12;1965
85239;8;1965
97407;22;1964
54339;137;1964
35339;10;1964
3169;2;1964
30112;17;1964
31553;6;1964
27439;14;1964
60360;81;1964
59019;8;1964
60703;6;1964
59119;3;1963
90057;9;1963
77451;10;1963
82075;47;1963
28325;17;1963
62073;16;1963
54305;24;1963
95541;11;1963
65017;17;1963
85211;26;1963
76302;45;1962
77409;32;1962
24575;6;1962
59419;23;1962
50149;15;1962
30355;13;1962
59468;2;1962
64077;1;1962
10067;12;1962
77368;4;1962
59536;3;1962
